unnamed,type,episodeNumber,name,url,description,season,places,State,MillionDollar,show,location,coords,point,lat,lng,altitude,hgtv_go_url,hgtv_go_url_good,hulu_url
2460,TVEpisode,2,Where There's a Will There's Norway,https://www.hgtv.com/shows/house-hunters/episodes/where-theres-a-will-theres-norway,"After a chance meeting as a tourist, Ollie is leaving Australia to pursue a dogsledding job and a relationship with Ingrid in Svalbard, Norway. He is anxious to push the boundaries of remote living 700 miles from the North Pole, but Ingrid is concerned and wants to keep Ollie from falling off the edge as House Hunters ventures into the unknown and Off The Grid in Svalbard, Norway.",specials,Svalbard,Norway,0,House Hunters,"Svalbard, Norway","Svalbard, Norge","(78.7198519, 20.3493328, 0.0)",78.7198519,20.3493328,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/where-theres-a-will-theres-norway,Bad,
414,TVEpisode,6,San Juan Islands Serenity,https://www.hgtv.com/shows/house-hunters/episodes/san-juan-islands-serenity,"After years of living a hectic lifestyle north of Seattle, Sybil and Travis settled on the quiet shores of Washington's San Juan Islands, and now are searching for another home among the islands for a family vacation spot. But while Sybil wants to find a home that will appeal to renters, Travis is firm on budget.",161,San Juan Islands,Washington,0,House Hunters,"San Juan Islands, Washington","San Juan Islands, Unorganized Borough, Alaska, United States of America","(57.2870602, -134.00490622741472, 0.0)",57.2870602,-134.0049062,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/san-juan-islands-serenity,Good,https://www.hulu.com/series/house-hunters-d9110a19-3f29-4ed1-b55c-0f4aa6869a320
2463,TVEpisode,5,"Cave Me, Maybe in Coober Pedy, Australia",https://www.hgtv.com/shows/house-hunters/episodes/cave-me-maybe-in-coober-pedy-australia,"Aaron and Tine met in Australia but chose to start a family in Tine's native Copenhagen. While life in Denmark is pleasant, limited work opportunities for expat Aaron have made a lucrative job offer back in Australia too good to pass up. But Australia won't be easy. The young family will have to live way off the grid in Coober Pedy, a remote mining town in the middle of the Australian Outback and 1,000 miles away from any sign of civilization. To make matters worse, daytime temperatures can reach 116 degrees, driving much of the population underground where they live in cave-like homes called dugouts. With two young children in tow, Aaron and Tine will have to consider this unique living if they want to beat the heat and make life comfortable in this isolated outback town.",specials,Copenhagen,Denmark,0,House Hunters,"Copenhagen, Denmark","K��benhavn, K��benhavns Kommune, Region Hovedstaden, 1357, Danmark","(55.6867243, 12.5700724, 0.0)",55.6867243,12.5700724,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/cave-me-maybe-in-coober-pedy-australia,Bad,
2452,TVEpisode,4,Montreal Home for a Newborn,https://www.hgtv.com/shows/house-hunters/episodes/montreal-home-for-a-newborn,"Although they've been married for more than a year, Lisa Lorenzetti and Danny Pilon are still acting like newlyweds. It's easy to be romantic when you live in Montreal, Quebec, often referred to as the most romantic city in North America. It's also the most European, with the second-largest French-speaking population in the world. With a baby boy on the way, they in a hurry to find their first home before he arrives. They don't want to stray far from their multi-ethnic neighborhood called Notre Dame de Grace--just west of downtown--but once they see a home with all the amenities in the suburb of West Island, they begin to reconsider.",1a,West Island,Canada,0,House Hunters,"West Island, Canada","West Island, Labrador, Newfoundland and Labrador, Canada","(52.7260971, -55.8153801, 0.0)",52.7260971,-55.8153801,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/montreal-home-for-a-newborn,Bad,
2461,TVEpisode,3,"Goodbye City Life, Hello Haida Gwaii, British Columbia",https://www.hgtv.com/shows/house-hunters/episodes/goodbye-city-life-hello-haida-gwaii-british-columbia,"Stefani hails from Germany and while on a trip to Haida Gwaii, Canada she met Jason. They decided to try life in the big city of Berlin, but after a year they had had enough of working nine to five and commuting for hours. They longed for a simple life with more personal freedom, so they decided to move back to Haida Gwaii. Not only that, but they wanted to try living off the grid. On an archipelago of islands with a total population of around 4,000, and the nearest town with less than three hundred people, they will be among a handful of rugged souls who choose to live beyond the power lines.",specials,Berlin,Germany,0,House Hunters,"Berlin, Germany","Berlin, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/goodbye-city-life-hello-haida-gwaii-british-columbia,Bad,
2411,TVEpisode,4,Best of Europe,https://www.hgtv.com/shows/house-hunters/episodes/best-of-europe,"House Hunters World Tour follows three couples as they search for the best homes Europe has to offer.  In Normandy, France,  a family of 8 combs the countryside for a house that has enough space for the kids,  and some historic charm, could a 15th century convent be the answer?  In the Netherlands,  a couple has their hearts set on the ultimate Amsterdam experience:  living in a houseboat.  And in Italy,  husband-and-wife educators want to get out of the city,  and raise their young son in a more rural setting.  They'll tour both modern homes and rustic properties in the hills outside Bologna before making that crucial decision.",2,Amsterdam,Netherlands,0,House Hunters,"Amsterdam, Netherlands","Amsterdam, Noord-Holland, Nederland","(52.37454030000001, 4.897975505617977, 0.0)",52.3745403,4.897975506,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/best-of-europe,Bad,
2450,TVEpisode,2,Balham Bound,https://www.hgtv.com/shows/house-hunters/episodes/balham-bound,"For the past four years Matthew Reynolds has been living in a two-bedroom flat in Stratford, a working-class neighborhood on the east side of London. Although his flat is just a 10-minute Tube ride to work, he is eager to escape the concrete jungle of Stratford for greener pastures. He's focused his search on Balham a suburban area close to his girlfriend, Sarah, and his drinking mates. The streets are lined with hip cafes and trendy bars, but it also has the open space, trees and grass this two-time marathoner likes. The only problem is, after searching for three months, he still hasn't found a place. Meanwhile he's living with Sarah. 

<P>Estate agents Barry Lynch and Georgina Potter are on the case, but since estate agents in London only represent sellers,  buyers have to go from one agent to another. Once they've seen all the listings an agent has, they move onto another. So Sarah has agreed to help Matthew with his home hunt. Can they find a Balham bachelor pad for Reynolds before he overstays his welcome?

<P>",1a,Stratford,United Kingdom,0,House Hunters,"Stratford, United Kingdom","Stratford-upon-Avon, Stratford-on-Avon, Warwickshire, England, CV37 6AH, United Kingdom","(52.1927885, -1.7063668, 0.0)",52.1927885,-1.7063668,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/balham-bound,Bad,
2454,TVEpisode,6,London Loft Wanted,https://www.hgtv.com/shows/house-hunters/episodes/london-loft-wanted,"When Andrew Strode-Gibbons sold his successful mortgage banking business, he was able to purchase an enormous country estate on the southern coast of England, where he spends time with his four teenage children and girlfriend, Lavinia. But Andrew recently took a new job in an up-and-coming sports-media business and began commuting two hours each way to London and back. Sick of the drive and sleeping in hotels some weeknights, he is ready to look for a London flat to stay in during the week. He is an experienced homebuyer and wants a mixture of modern conveniences and traditional features, all of the highest quality. Can his friend and agent, Gareth Jones, help him find a flat with the amenities he has come to expect?",1a,London,United Kingdom,0,House Hunters,"London, United Kingdom","London, Greater London, England, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/london-loft-wanted,Bad,
1609,TVEpisode,13,Old and Charming Vs New and Modern in Seattle,https://www.hgtv.com/shows/house-hunters/episodes/old-and-charming-vs-new-and-modern-in-seattle,"Oleg and Hayley met in Prague, and after a whirlwind romance, got married and moved back to her hometown of Seattle, Washington. Tired of the skyrocketing price of rent, they are looking for their first place near downtown.  But even though they have a 450,000 budget, their house-hunting journey has become problematic. She wants an old home with Victorian details, while he wants modern and new. Will Oleg and Hayley find the perfect place for them, or will their perspectives on style collide?",71,Prague,Washington,0,House Hunters,"Prague, Washington","Praha, okres Hlavn�� m��sto Praha, Hlavn�� m��sto Praha, Praha, ��esk�� republika","(50.0874654, 14.4212535, 0.0)",50.0874654,14.4212535,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/old-and-charming-vs-new-and-modern-in-seattle,Bad,
1892,TVEpisode,10,Couple Rushes to Buy Home in Montana,https://www.hgtv.com/shows/house-hunters/episodes/couple-rushes-to-buy-home-in-montana,"Kelli and Reed left their music careers in Nashville to begin a new life in the scenic resort town of Whitefish, Montana. Now, they're in a rush to move out of Reed's parents' house and into a home of their own before they open the doors to their new cafe, 'The Caboose', in downtown Whitefish. But while Kelli wants to find a place with a cozy, rustic feel, Reed, who grew up in a cabin-style home, prefers a more streamlined look with modern finishes. With a budget of $375,000, can this couple find a place close to town that'll make them both happy?",49,Whitefish,Montana,0,House Hunters,"Whitefish, Montana","Whitefish, Flathead County, Montana, United States of America","(48.4108018, -114.3346245, 0.0)",48.4108018,-114.3346245,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/couple-rushes-to-buy-home-in-montana,Bad,
